training_fraction,training_percent,training_rows,num_players,num_steps,final_avg_elbo_loss,accuracy,log_loss
0.25,25,48268,999,2000,0.5955406549981190,0.6419947450721760,0.6297660209413880
0.5,50,96537,999,2000,0.6022968966961620,0.6691842096865130,0.6004660070408870
0.75,75,144805,999,2000,0.5985548260256320,0.6796408778069720,0.5886370626104440
1.0,100,193074,999,2000,0.5822566059566620,0.6834703798653290,0.5849970043574550
