player_id,player,estimated_skill_mean
158,ToD,0.94282424
234,Daisy,0.93842524
212,DnS,0.9287862
523,JJun,0.9213981
324,ReaL,0.92005116
606,Giantt,0.9141176
351,Ostojiy,0.9116782
394,Min,0.9103027
649,Miso,0.9082353
233,Feast,0.90497863
144,DeMusliM,0.90403885
222,souL,0.89712757
192,Lambo,0.88097215
52,MacSed,0.8798622
58,FruitDealer,0.87817734
408,Orly,0.87678415
168,sLivko,0.8632068
246,LoWeLy,0.8559417
329,Hitman,0.848591
278,biGs,0.83998287
671,Complain,0.8389921
452,Luvsic,0.8384714
176,Tefel,0.8295866
117,Cham,0.8291047
84,DIMAGA,0.8285594
164,qxc,0.82570344
183,TIME,0.8224324
83,Has,0.81579405
148,JonSnow,0.80854005
128,SjoW,0.8023726
665,Mentalist,0.8003708
206,Bischu,0.7976423
437,roof,0.79174376
254,Guru,0.77704704
643,IceCream,0.77431095
268,Rail,0.7645977
483,Rake,0.76323795
259,hendralisk,0.76290995
250,Goswser,0.76193255
109,XY,0.76128656
162,BlinG,0.7612814
475,Neytpoh,0.7569399
235,Bails,0.754446
132,Brat_OK,0.74778205
512,NaTuRal,0.74564004
213,LoveCD,0.7455818
261,Forte,0.73049825
160,HongUn,0.7196913
479,Adonminus,0.71702754
208,DarKFoRcE,0.71593165
571,Osho,0.7148487
325,Shuttle,0.7087685
126,Cyan,0.7051496
347,Guitarcheese,0.7030605
334,Strange,0.7027667
503,Sjaak,0.7012123
363,Krr,0.7001661
149,GoOdy,0.69366413
103,iaguz,0.6813767
193,monchi,0.6782645
247,Tarson,0.67672074
380,Majestic,0.6684374
406,PenguiN,0.66569006
189,Illusion,0.6581674
167,TAiLS,0.6576123
654,Grid,0.6572512
716,Revenge,0.6517257
216,State,0.6502214
586,Crane,0.64321387
257,KrasS,0.6412977
447,Revolver,0.6399069
379,Siw,0.6391837
127,SeleCT,0.63651603
715,Venus,0.63620037
706,Romson,0.6358959
262,LaLuSh,0.63562983
577,CoolTea,0.631263
190,Xenocider,0.6305013
397,DmC,0.62949586
151,Suppy,0.6156231
153,PiG,0.6146707
656,KoNtiNuE,0.61304694
588,Cytoplasm,0.611916
280,SarenS,0.5992636
170,Adelscott,0.59776264
330,DaNa,0.5970611
293,Ziktomini,0.59428865
787,DeeMo,0.5756069
438,Sonder,0.56866807
175,Minigun,0.5626861
258,HaNfy,0.5576598
533,YoonYJ,0.5547696
389,LoveTt,0.5546206
399,CrunCher,0.5538946
634,Downfall,0.5518425
308,JazBas,0.547032
335,Insur,0.5431804
555,Gamja,0.54046863
296,Seiplo,0.53807604
236,TT1,0.5362009
425,Basior,0.52490854
199,Jieshi,0.52248967
177,NightEnD,0.5158357
786,Rikytan,0.50740266
263,DieStar,0.5073521
358,PsiOniC,0.50384724
384,sYz,0.5004182
232,MaFia,0.48093385
173,Naama,0.4805838
320,Satiini,0.4773227
532,HateMe,0.47723216
955,TerrOr,0.47719374
701,Bubbles,0.47633442
371,iNSoLeNCE,0.47575495
249,dde,0.47131658
333,Ourk,0.4687755
476,Mystik,0.46861902
959,Pro7ecT,0.46737605
231,Infi,0.46357197
337,Denver,0.46208045
528,Abver,0.45537403
517,Minato,0.4500816
255,XlorD,0.44743213
720,Mysticism,0.44326636
569,Hunter,0.44122458
275,Astrea,0.43968758
237,ClouD,0.43840855
551,Moosegills,0.43255597
378,Intense,0.42912558
383,Turuk,0.4234779
181,Ian,0.42001867
463,Pomi,0.4172011
537,Zeth,0.4069639
336,Reynor,0.40273067
313,Optimus,0.40015644
141,ViBE,0.39778745
303,ShaDoWn,0.39689738
191,Fenix,0.37866622
241,XluoS,0.37621078
853,JungleKing,0.36923733
227,Shana,0.36697772
